,Gender,Age,#NER,Vocabulary
8eddffd79435b9899bdce96f32ac8964,FEMALE,25-34,16,249
3bcfe66d0205a1ba9798f567ed9abd02,MALE,25-34,7,159
da166e95ddce4d299d22fd481fbc7f3a,FEMALE,35-49,13,317
0f35f8ef1f873d9a7ca0217d2c144ad9,MALE,25-34,40,284
4c9fe29d6bea6d70c02b7eca7e2fac7b,MALE,50-64,78,1572
f40c67d538d653971ab3b2099f6dc9ed,FEMALE,25-34,29,215
0e1df8a8392b3c327ca155ab776075d6,FEMALE,50-64,366,4129
d6320c38e7d241a2051948d9c92d5fcc,FEMALE,35-49,7,176
bba9dd588bd881e925c3b1e699dd149d,FEMALE,35-49,167,645
355cb0e198dc1ee4fedadd9a15937aed,MALE,25-34,43,557
14bd7b5d73bb987fb12de857a8af04d4,FEMALE,25-34,11,316
d422b458cbd644bc5927c8446b6db4ba,MALE,35-49,12,441
dfc648f66390a808d76f67f8d67984b3,MALE,35-49,19,291
4aea1c28f32e0f24d10af683c56d5571,FEMALE,35-49,78,164
530a6b79d79885afb1136a137bf7c606,MALE,35-49,758,5022
fd17ad398d0c93b2ab737394911d9680,MALE,25-34,25,260
b62d3ee201923f7177cfb7fbff1b9246,MALE,25-34,84,259
db62119e6b5ec7f69d03f35e94c20113,FEMALE,25-34,14,132
a32d584d94c8b4df00c723964397af63,FEMALE,25-34,12,314
7aae392bc294eb33775b41d1ae9008a6,FEMALE,35-49,127,2977
2ca309cabcd1abfe3b5ce94a3d04083f,MALE,18-24,391,1495
a60b395bd833e09056306cf9e2a5424f,FEMALE,35-49,36,312
85cd4542fdbd671a1081fdf9cc9c99f1,MALE,25-34,232,926
a8ac8af521dd5428a2684753ff282c70,MALE,25-34,327,2335
67b65b5ecfd4737ef2d1635f7787d27c,MALE,50-64,1212,2903
9fd6232ade715eb689acbf07177bdf4e,FEMALE,35-49,45,262
77ca664bd8d7493d74e06c31310c880b,FEMALE,25-34,36,250
2964569986f901b8461b8de8e0315d53,MALE,25-34,905,3156
ee0d877c8e51ba35f769168e0a931ab9,MALE,35-49,75,1044
f63a0abd1aa908e77bcd4b24f9167d50,FEMALE,25-34,18,154
0a485d9bc555d607f43264a186fb2396,FEMALE,35-49,22,340
f532e8fdd3e588fc7e0f1227c4cc0475,FEMALE,35-49,9,174
2091e8bf7636d0dca83cfba0fa734b8a,MALE,25-34,1320,5809
1f3826ca58250a9792a9d76b6755e352,MALE,25-34,258,2311
d01d632ac60eee20c22fc739e09630c4,FEMALE,35-49,4,292
f7032216f7e6a315e7aba80eb837869b,MALE,25-34,84,184
cb849ed0e8f9f46b34ea0c916d91246a,FEMALE,25-34,53,789
d5f7f3664f9ea16fbb054021fa1db89b,MALE,35-49,38,562
0b04e1b76df8fb5dfce687471bc10363,MALE,25-34,47,473
64541aaba090c2ef787f41df4f60b427,FEMALE,25-34,8,98
712cfd0cbc471bb71c3719087c7f8163,MALE,25-34,70,479
c8792bbc040e42454c553884e49b0ad4,FEMALE,25-34,6,334
ad2cb6ee14999d6fb82188de2eac5b36,MALE,35-49,1932,6048
269e60fba19ed6253ec9e8351c1309d4,MALE,35-49,295,737
daadc248fd9c1f691ba9fa366f8e0e68,FEMALE,25-34,46,331
1585cd6e4e9e40f33d0add5f9aa021b3,MALE,25-34,205,2254
2da285ca4d7ccf55cddaec524cd6945e,MALE,25-34,55,345
6e6763685d90463cf4744c69b67bc6a8,MALE,35-49,41,453
fe826c2665b9aecd0e77a27eaa21e1d5,MALE,35-49,82,253
7063a298b3fe8ae16adf08d157d7650b,FEMALE,25-34,115,1477
920189e406fe3bd1b1d90f171d254c81,MALE,50-64,329,1559
d2a64c8cda3ca7eb0a29f38a9ee59a71,MALE,25-34,388,2258
cb18e30e112592b891b1a19714a8c9b4,FEMALE,50-64,21,332
83436be17ccd5f13421563e71f1831f9,FEMALE,35-49,174,1874
2f0930b662599ca0e886fc97a3a766b0,MALE,35-49,28,357
2f7cbda95a93a77d2414c09962414486,FEMALE,50-64,19,298
0c1260e532652078f669e45e3f400c4b,MALE,35-49,130,666
7deda4c651b4b8a9fa937903db9de6bd,MALE,50-64,418,3371
7d754aec6549d9c7edf312ae2052d3e5,FEMALE,35-49,24,235
109178ef55eccb9e70d989b81cd608fe,FEMALE,65-xx,63,240
a5ed4c18c0390f87ec8fd26f61e38b8b,FEMALE,25-34,1315,6162
70121bb3fedd1b9881da204cce3d70c5,MALE,25-34,34,258
427243f7ecba77db502e1ecc334a3670,MALE,25-34,14,257
de7c1877406b7b524612d33cfd4a6faa,FEMALE,65-xx,201,3020
7b929a991be4703bfb474b2192b9e3d3,MALE,35-49,706,4866
7b72e0ec27de5a09329c3a182a932fe1,FEMALE,18-24,0,146
9dd443066d1d87106cf38c417792118a,FEMALE,25-34,19,286
0745bfb436637124afa2c14ebe7b55ce,MALE,35-49,320,3752
e82f0de508f17e5e333744972538b360,MALE,50-64,82,611
913e54a57730b7790f2d81c0f15df3c3,MALE,35-49,30,422
af9393a9f93b3ef093de18b489cd2d52,MALE,65-xx,626,680
eaa5dee7f527a6a158ba2de33c135db5,MALE,50-64,287,3730
a19b3aa4172e27805ebb7d758f1a9554,FEMALE,25-34,11,345
9fd50a877070139eb06c70e34346d8bf,MALE,35-49,460,1886
1c8878c8b91130a12db45ef2e8185183,FEMALE,35-49,30,1109
d5bafdf68fc64ed3e9bc147dfcc5aef4,MALE,50-64,394,4629
ade51b73b66e6c37d31deeaba14bd000,FEMALE,35-49,496,3326
8a27676432d2227fff82e5ca1973c62c,FEMALE,35-49,35,413
603d5ea042f656afdbec4a39f7203ea3,FEMALE,35-49,122,885
049a61c8481194920950bf2411e9f721,MALE,25-34,19,271
c191a1fb49e90564d6a2effeaf8493d6,FEMALE,50-64,499,1581
47fb01784d4b95b49b3969f117581b32,FEMALE,18-24,301,1905
7a2db29d490c056dbbaba6170380848e,MALE,35-49,290,1531
c82ac59e4431be73a1a9c148abbacfb7,MALE,35-49,30,232
4e42116e64b482d8138352a72f32e8bc,FEMALE,25-34,118,1663
e70b835403729f1a2437127aa543d8f3,MALE,25-34,57,293
69dcc34685484753917caabc186c8ee8,MALE,25-34,0,0
121503d0305016cc445a5409b84bd1dc,MALE,50-64,1067,3771
23120d5588a1042cf38f5df310432a83,FEMALE,25-34,32,347
8530e3cea6d6cfdd3892902b3876e60a,MALE,25-34,37,327
f88316ce3babd449f686dfbfcea929d3,FEMALE,50-64,74,764
ebb150c68b95d6f1c846b4cb8727d8f7,MALE,25-34,8,191
