,Gender,Age ,NN,TO,VB,DT,IN,PRP$,NNP,VBZ,RBS,JJ,CC,NNPS,RB,PRP,VBP,VBD,NNS,VBN,WP,VBG,MD,EX,POS,CD,WDT,WRB,PDT,JJS,JJR,RP,-NONE-,RBR,LS,WP$,FW,UH,-LRB-,Vocabulary
9d976a82f0d735e95f1338a0c4d08372,MALE,35-49,286,44,51,141,217,13,412,45,0,127,64,1,31,27,27,22,111,28,3,38,16,1,2,32,16,1,0,3,3,3,3,2,0,0,1,0,0,883
808445e76a3eba242898ba24be3ef64d,MALE,25-34,545,105,153,392,436,42,804,127,4,272,114,6,140,133,118,46,201,81,28,88,60,4,20,111,27,13,2,9,12,17,12,7,0,0,1,0,0,1722
788624fbd848021d505fc0ff3550fff3,FEMALE,35-49,62,11,11,37,43,8,74,9,0,25,12,1,14,22,21,8,29,13,3,6,3,0,0,10,1,2,0,0,1,1,1,0,0,0,0,0,0,276
0b085d7e81d2aa6897b0c7d1a07de06f,FEMALE,25-34,358,51,49,176,220,26,307,41,1,167,81,4,61,36,35,40,153,39,5,54,20,1,1,67,10,6,0,1,11,6,1,0,0,0,0,0,0,1027
6d5aaaa46480f919e85f286523221796,FEMALE,35-49,841,217,323,645,495,25,772,163,2,265,117,7,143,224,105,62,188,139,15,104,162,2,2,114,31,25,2,2,5,15,17,5,0,0,2,0,0,1566
ad82f4a5700c4e46c52c84874399a417,FEMALE,35-49,75,6,14,51,65,7,100,17,0,31,32,0,17,19,22,14,41,8,3,13,9,2,0,29,5,1,0,1,1,1,1,2,0,0,0,1,0,352
d0d79ca665a426c76c4d69a4e868070a,MALE,25-34,47,2,1,26,31,10,27,5,0,15,5,0,6,9,4,3,6,9,0,4,0,0,1,3,1,0,0,0,1,1,1,0,0,0,0,0,0,136
111a34249fffddcfcfe1f00951698366,MALE,35-49,788,169,252,492,633,109,940,67,2,353,222,3,357,446,166,400,152,97,15,130,68,8,16,169,15,19,3,14,15,34,10,14,0,0,1,0,0,1581
f9f2ea449732be0f491cf507b9f5d9df,FEMALE,35-49,215,43,69,134,177,18,92,36,1,73,46,0,78,55,40,17,89,39,7,39,33,2,0,27,13,9,0,1,5,3,3,2,0,0,0,0,0,636
752e8784532ed8faa799cc8cb25dd3f3,MALE,35-49,508,46,78,223,314,19,646,74,2,221,122,3,62,33,36,38,238,58,2,56,27,0,11,55,13,7,0,7,3,4,6,2,0,1,0,0,0,1035
d28c1d83999e19eb1710ac909ac8de47,FEMALE,35-49,61,7,3,44,48,1,186,10,0,17,24,2,1,2,0,14,5,4,0,4,0,0,0,47,0,0,0,0,0,0,0,0,0,0,0,0,0,234
f1ff6a7b7270f8b983e7898f4eaeb53b,FEMALE,35-49,30,3,5,20,31,5,38,5,0,15,9,0,7,6,9,1,17,6,0,2,3,1,3,3,0,2,0,0,0,1,0,0,0,0,0,0,0,165
379fa2087c5d74668270f6a607208e5c,FEMALE,25-34,94,17,15,58,52,10,82,11,1,31,27,0,27,38,22,21,35,8,0,5,2,0,0,32,2,2,1,4,0,3,3,0,1,0,0,0,0,333
e539ade0a2ab4a3fe264de60bd448293,FEMALE,18-24,555,62,83,275,375,45,842,89,0,259,111,8,104,148,86,94,148,57,5,52,31,4,54,119,15,5,0,8,7,17,7,0,0,0,0,0,0,1552
df8062f8e532887a2c796b784c93247a,MALE,18-24,79,17,12,48,58,14,88,7,1,38,19,1,20,30,13,34,35,13,4,12,2,1,0,24,3,4,1,1,3,4,1,1,0,0,0,0,0,337
0f993d529ff60d03fcbc9f439a7909f1,FEMALE,25-34,142,31,37,85,130,7,377,30,0,59,65,5,43,28,16,6,60,12,0,11,13,1,0,164,0,6,0,6,2,5,4,4,0,0,0,0,0,541
0a012eb53f5e7bad0691c9a0fcb761d6,MALE,35-49,682,115,184,428,586,56,788,134,4,384,168,13,226,138,108,53,301,73,16,85,85,11,16,70,24,29,1,24,38,17,0,15,0,1,1,0,0,1748
4e12db3babc8b873a1acc07d835551ac,FEMALE,25-34,100,15,16,41,53,13,88,9,0,32,36,1,33,40,20,24,32,20,3,9,8,1,0,54,2,8,0,1,0,2,6,0,0,0,0,0,0,347
9e46d220751b35e62cc149fea318fae9,FEMALE,25-34,46,14,10,29,27,3,71,6,0,13,9,1,11,16,5,7,12,6,1,9,3,1,0,13,2,2,0,2,1,1,2,1,0,0,0,0,0,208
ceed88f668081db61cedbf12dd85e48d,FEMALE,25-34,239,34,36,117,134,12,218,42,0,104,35,0,52,53,53,6,104,22,3,18,14,4,7,114,8,8,0,0,9,1,1,4,0,0,1,0,0,599
e6daefefdc379cd36fc04d7a57819232,FEMALE,50-64,56,26,34,37,57,17,66,14,0,30,19,0,29,31,28,3,44,6,5,9,16,3,0,21,4,2,0,0,1,3,0,2,1,0,0,0,0,295
8eddffd79435b9899bdce96f32ac8964,FEMALE,25-34,67,11,15,39,35,8,60,19,2,27,19,0,26,35,13,9,9,13,1,7,5,0,0,12,3,3,0,1,1,0,1,0,0,0,0,0,0,249
3bcfe66d0205a1ba9798f567ed9abd02,MALE,25-34,38,5,5,20,19,7,32,3,0,17,25,0,5,18,5,8,16,6,2,3,1,0,0,38,0,0,0,0,1,1,1,0,0,0,0,0,0,159
da166e95ddce4d299d22fd481fbc7f3a,FEMALE,35-49,87,13,12,56,74,12,74,11,0,32,20,1,29,43,27,17,29,6,0,11,6,1,0,25,0,3,0,1,0,4,2,0,0,0,0,0,0,317
0f35f8ef1f873d9a7ca0217d2c144ad9,MALE,25-34,128,16,20,62,102,12,150,14,0,76,84,0,42,44,34,18,42,16,2,30,2,0,0,106,8,4,2,0,2,2,6,0,0,0,0,0,0,284
4c9fe29d6bea6d70c02b7eca7e2fac7b,MALE,50-64,781,96,148,397,437,18,421,131,1,307,149,1,161,83,74,88,249,90,6,81,51,8,11,99,15,18,0,7,28,24,15,2,0,1,2,0,0,1572
f40c67d538d653971ab3b2099f6dc9ed,FEMALE,25-34,48,6,9,26,33,8,89,7,3,15,17,0,8,12,2,13,15,2,2,7,5,0,0,18,0,2,0,0,1,1,0,0,0,0,0,0,0,215
0e1df8a8392b3c327ca155ab776075d6,FEMALE,50-64,2669,498,636,1466,1727,312,1858,407,8,1119,572,8,506,718,524,330,1093,223,142,284,205,24,81,231,89,112,1,38,52,32,30,17,0,3,1,0,0,4129
d6320c38e7d241a2051948d9c92d5fcc,FEMALE,35-49,31,13,14,26,35,11,24,7,0,17,14,0,9,20,14,5,18,4,5,4,4,0,0,2,0,1,1,1,1,2,1,1,0,0,0,0,0,176
bba9dd588bd881e925c3b1e699dd149d,FEMALE,35-49,222,30,31,126,140,10,373,46,0,67,96,4,19,9,17,21,47,31,1,30,11,0,0,104,5,0,0,2,3,4,5,1,0,1,0,0,0,645
355cb0e198dc1ee4fedadd9a15937aed,MALE,25-34,180,38,52,150,143,23,165,52,0,60,39,4,55,65,36,28,44,39,5,20,14,2,2,11,9,14,0,5,6,3,2,2,0,1,0,0,0,557
14bd7b5d73bb987fb12de857a8af04d4,FEMALE,25-34,64,17,27,31,55,7,65,13,1,30,29,0,18,47,23,11,43,7,4,7,8,1,0,21,2,7,0,2,2,2,3,1,0,0,0,0,0,316
d422b458cbd644bc5927c8446b6db4ba,MALE,35-49,195,18,28,110,121,7,69,32,1,95,38,1,29,11,18,4,62,18,10,3,17,0,1,5,3,3,0,6,9,1,0,5,0,0,0,0,0,441
dfc648f66390a808d76f67f8d67984b3,MALE,35-49,75,11,22,55,50,5,71,16,0,46,30,0,26,19,20,8,27,11,5,5,10,0,0,26,3,5,0,0,3,2,2,2,0,0,0,0,0,291
4aea1c28f32e0f24d10af683c56d5571,FEMALE,35-49,142,6,12,42,56,8,154,4,0,18,22,6,12,10,12,0,36,8,0,12,6,0,0,4,2,0,0,0,0,0,2,0,0,0,0,0,0,164
530a6b79d79885afb1136a137bf7c606,MALE,35-49,3046,663,926,2113,2608,304,3015,615,13,1640,731,30,890,1014,647,412,1192,377,71,454,378,43,48,332,125,163,2,64,97,47,45,50,1,1,0,0,0,5022
fd17ad398d0c93b2ab737394911d9680,MALE,25-34,65,10,18,41,44,7,73,14,0,25,13,0,22,34,10,16,14,12,1,5,11,2,0,16,6,2,0,1,0,2,1,0,0,0,0,0,0,260
b62d3ee201923f7177cfb7fbff1b9246,MALE,25-34,54,10,12,42,52,8,169,13,1,28,26,10,19,22,16,5,21,7,2,11,4,1,0,23,2,3,0,0,0,2,0,1,0,0,0,0,0,259
db62119e6b5ec7f69d03f35e94c20113,FEMALE,25-34,28,6,5,15,24,3,45,3,0,4,14,1,1,5,2,4,4,6,1,3,2,0,0,15,0,1,0,0,0,1,0,0,0,0,0,0,0,132
a32d584d94c8b4df00c723964397af63,FEMALE,25-34,73,16,15,38,56,13,100,17,0,33,37,1,30,46,14,25,15,13,0,13,4,1,0,48,2,1,0,0,10,5,4,0,0,0,0,0,0,314
7aae392bc294eb33775b41d1ae9008a6,FEMALE,35-49,1718,389,659,701,1028,290,1349,272,8,681,434,7,420,627,489,124,658,193,73,195,254,13,14,170,75,76,1,20,62,44,13,37,0,0,0,1,0,2977
2ca309cabcd1abfe3b5ce94a3d04083f,MALE,18-24,441,82,119,335,436,43,953,126,2,189,60,25,130,69,48,87,126,97,5,87,59,2,0,232,16,19,0,8,6,9,10,5,0,0,0,0,0,1495
a60b395bd833e09056306cf9e2a5424f,FEMALE,35-49,84,14,18,43,67,2,121,12,1,30,32,1,19,21,22,10,41,9,5,10,10,2,0,35,2,8,0,1,0,0,0,0,0,0,0,0,0,312
85cd4542fdbd671a1081fdf9cc9c99f1,MALE,25-34,382,35,11,256,395,7,455,68,5,225,102,31,48,14,30,30,156,58,7,28,6,1,14,183,3,4,1,6,18,4,12,10,0,0,0,0,0,926
a8ac8af521dd5428a2684753ff282c70,MALE,25-34,1389,166,265,685,658,102,1060,214,0,446,179,5,194,234,147,96,314,162,5,92,106,5,40,90,40,21,0,8,17,8,71,2,0,0,0,0,0,2335
67b65b5ecfd4737ef2d1635f7787d27c,MALE,50-64,2720,396,484,1554,2028,138,2478,444,10,1310,698,40,578,476,392,248,1142,358,38,374,194,24,6,448,86,52,0,28,76,4,30,34,0,0,0,0,0,2903
9fd6232ade715eb689acbf07177bdf4e,FEMALE,35-49,66,10,12,36,39,6,111,8,0,27,24,2,11,5,8,7,23,6,2,6,7,0,5,17,5,1,0,0,0,0,0,0,0,0,0,0,0,262
77ca664bd8d7493d74e06c31310c880b,FEMALE,25-34,68,22,19,54,51,11,120,5,0,22,35,0,15,23,17,13,16,6,2,7,0,0,0,29,0,0,0,1,0,1,0,1,0,0,0,0,0,250
2964569986f901b8461b8de8e0315d53,MALE,25-34,1335,242,260,1049,1066,94,2660,272,15,527,280,29,402,349,161,336,486,174,52,130,86,12,74,259,39,48,2,25,25,41,10,14,0,0,0,0,0,3156
ee0d877c8e51ba35f769168e0a931ab9,MALE,35-49,447,54,67,164,252,8,248,33,0,244,93,0,51,22,39,62,217,84,1,43,20,0,0,68,14,6,0,2,6,0,6,2,0,0,0,0,0,1044
f63a0abd1aa908e77bcd4b24f9167d50,FEMALE,25-34,35,4,5,20,27,1,59,4,0,19,17,0,4,4,1,7,13,2,0,7,0,0,0,24,1,0,0,0,1,0,2,0,0,1,0,0,0,154
0a485d9bc555d607f43264a186fb2396,FEMALE,35-49,94,10,12,41,56,18,123,12,0,36,20,0,14,31,17,12,37,7,5,8,4,0,0,55,0,5,0,3,1,1,4,1,1,0,0,0,0,340
f532e8fdd3e588fc7e0f1227c4cc0475,FEMALE,35-49,55,9,3,31,32,5,37,11,0,29,19,0,12,6,7,3,12,6,0,4,0,1,0,25,1,2,0,3,0,2,2,1,0,0,0,0,0,174
2091e8bf7636d0dca83cfba0fa734b8a,MALE,25-34,4400,506,713,1377,1987,119,5056,651,8,3500,702,9,723,582,402,324,1005,384,32,334,293,38,35,991,100,120,1,21,64,34,137,16,0,1,1,0,0,5809
1f3826ca58250a9792a9d76b6755e352,MALE,25-34,1211,256,239,715,975,60,837,199,4,547,232,8,264,144,116,167,480,187,15,113,65,5,0,135,64,41,2,11,25,27,4,8,0,1,0,0,0,2311
d01d632ac60eee20c22fc739e09630c4,FEMALE,35-49,72,16,22,48,52,7,65,12,0,32,21,0,28,24,19,5,26,11,0,14,7,1,0,19,2,2,0,3,0,3,0,0,0,0,0,0,0,292
f7032216f7e6a315e7aba80eb837869b,MALE,25-34,88,24,14,44,72,10,146,16,0,42,22,2,6,16,6,26,28,14,0,8,4,2,0,36,2,8,0,0,0,0,0,0,2,0,0,0,0,184
cb849ed0e8f9f46b34ea0c916d91246a,FEMALE,25-34,236,36,59,167,149,36,275,38,0,143,59,0,148,131,56,82,72,23,8,25,25,2,14,23,5,6,0,6,3,6,1,0,0,0,1,0,0,789
d5f7f3664f9ea16fbb054021fa1db89b,MALE,35-49,167,29,45,117,124,7,163,18,0,64,50,0,31,75,31,37,62,30,5,20,19,4,0,72,9,13,0,1,4,7,13,2,0,0,0,0,0,562
0b04e1b76df8fb5dfce687471bc10363,MALE,25-34,144,23,55,44,71,29,156,35,0,61,23,0,57,84,46,11,26,14,3,4,26,1,3,8,4,9,1,7,2,2,5,0,0,0,0,0,0,473
64541aaba090c2ef787f41df4f60b427,FEMALE,25-34,26,6,7,15,18,5,13,8,0,7,5,0,5,11,3,0,3,0,0,3,1,0,0,3,1,2,0,2,2,1,0,0,0,0,0,0,0,98
712cfd0cbc471bb71c3719087c7f8163,MALE,25-34,126,26,28,47,82,4,209,9,0,68,20,2,30,10,19,15,77,10,2,11,7,0,2,72,4,5,0,2,1,1,2,0,0,1,0,0,0,479
c8792bbc040e42454c553884e49b0ad4,FEMALE,25-34,92,13,19,56,75,11,59,15,0,32,57,1,20,23,15,5,43,5,5,18,7,0,0,43,3,1,0,3,3,4,2,4,0,0,0,0,0,334
ad2cb6ee14999d6fb82188de2eac5b36,MALE,35-49,7606,1206,1246,3978,5436,234,6060,1618,16,3632,1638,44,1604,834,746,654,2468,888,70,748,480,70,176,2106,272,126,4,128,284,98,92,88,2,4,0,0,0,6048
269e60fba19ed6253ec9e8351c1309d4,MALE,35-49,233,29,46,172,183,21,534,68,2,191,76,31,54,41,37,36,100,55,3,36,33,2,3,57,9,4,0,5,3,2,4,1,0,0,0,0,0,737
daadc248fd9c1f691ba9fa366f8e0e68,FEMALE,25-34,86,4,5,30,41,4,118,12,0,36,14,0,22,16,9,8,16,9,0,6,4,0,0,8,2,2,1,0,0,1,0,2,0,0,0,0,0,331
1585cd6e4e9e40f33d0add5f9aa021b3,MALE,25-34,20376,178,242,480,596,188,1206,133,2,805,197,0,286,477,178,326,300,98,42,110,79,8,22,19201,12,47,0,2,23,33,797,3,0,0,0,0,0,2254
2da285ca4d7ccf55cddaec524cd6945e,MALE,25-34,82,12,13,57,67,10,164,10,0,41,76,0,29,32,16,31,26,14,4,4,4,2,0,115,2,3,0,6,0,2,4,1,0,0,0,0,0,345
6e6763685d90463cf4744c69b67bc6a8,MALE,35-49,152,39,41,95,89,27,140,20,0,64,31,1,28,31,14,41,28,20,6,15,5,0,7,7,6,1,0,2,1,4,3,1,0,0,0,0,0,453
fe826c2665b9aecd0e77a27eaa21e1d5,MALE,35-49,206,16,26,34,82,4,190,28,2,48,36,0,6,2,18,6,90,8,0,22,10,0,0,8,2,0,0,0,8,0,2,2,0,0,0,0,0,253
7063a298b3fe8ae16adf08d157d7650b,FEMALE,25-34,496,82,117,337,365,64,535,57,2,202,125,3,209,201,92,141,122,84,11,73,42,3,20,18,16,8,0,6,5,24,5,5,0,0,0,1,0,1477
920189e406fe3bd1b1d90f171d254c81,MALE,50-64,676,122,68,317,501,22,806,35,0,282,446,19,66,15,24,140,196,103,4,45,17,0,11,885,14,2,0,4,9,8,10,2,0,0,0,0,0,1559
d2a64c8cda3ca7eb0a29f38a9ee59a71,MALE,25-34,1042,165,300,749,735,49,1232,267,4,486,227,6,449,302,175,134,365,112,27,113,143,19,35,99,47,40,1,7,20,10,16,17,0,0,0,0,0,2258
cb18e30e112592b891b1a19714a8c9b4,FEMALE,50-64,75,9,20,57,58,12,89,9,0,33,29,0,23,35,20,16,14,7,1,13,9,2,3,16,4,1,0,2,2,4,0,0,0,0,0,0,0,332
83436be17ccd5f13421563e71f1831f9,FEMALE,35-49,734,178,223,368,529,137,620,113,1,340,259,6,251,359,133,199,209,92,32,110,66,4,12,137,20,11,1,11,8,23,10,6,0,0,0,0,0,1874
2f0930b662599ca0e886fc97a3a766b0,MALE,35-49,80,21,24,37,53,14,102,12,0,29,29,0,28,25,14,17,29,7,2,17,6,0,0,38,1,7,0,2,2,3,4,1,0,1,0,0,0,357
2f7cbda95a93a77d2414c09962414486,FEMALE,50-64,86,20,17,48,48,5,64,13,0,40,22,0,23,33,15,16,13,8,0,7,5,1,0,34,5,3,0,1,1,2,5,1,0,0,0,0,0,298
0c1260e532652078f669e45e3f400c4b,MALE,35-49,184,37,42,154,189,30,429,63,0,82,34,5,44,62,62,23,85,28,12,19,24,1,1,138,4,4,0,10,3,0,4,0,0,0,0,0,0,666
7deda4c651b4b8a9fa937903db9de6bd,MALE,50-64,1201,249,332,850,1065,183,1614,265,6,531,306,13,469,483,258,264,411,186,46,186,106,21,50,163,34,44,0,25,35,39,13,14,0,5,1,0,0,3371
7d754aec6549d9c7edf312ae2052d3e5,FEMALE,35-49,71,5,13,32,82,19,95,1,0,41,23,0,9,31,19,2,46,15,1,5,4,0,0,96,1,0,6,1,1,6,1,0,0,0,0,0,0,235
109178ef55eccb9e70d989b81cd608fe,FEMALE,65-xx,34,4,3,39,30,4,154,9,2,34,27,13,8,9,6,11,19,2,1,3,0,0,0,15,0,2,0,0,1,0,4,0,0,0,0,0,0,240
a5ed4c18c0390f87ec8fd26f61e38b8b,FEMALE,25-34,3078,471,541,2162,2724,216,3161,605,30,1600,658,22,727,495,407,470,1302,518,105,365,222,26,126,274,172,88,1,48,52,53,25,30,0,0,1,1,0,6162
70121bb3fedd1b9881da204cce3d70c5,MALE,25-34,73,9,13,33,27,6,93,8,0,29,35,1,25,20,9,11,17,12,5,7,3,0,0,52,4,1,0,0,1,0,3,1,0,0,0,0,0,258
427243f7ecba77db502e1ecc334a3670,MALE,25-34,72,10,9,36,52,8,63,12,0,34,32,1,25,24,15,8,28,11,2,12,3,0,0,30,2,3,0,5,2,3,1,0,0,0,0,0,0,257
de7c1877406b7b524612d33cfd4a6faa,FEMALE,65-xx,1315,305,469,736,1030,164,974,231,1,638,348,6,502,773,408,213,515,185,66,215,171,5,33,153,47,71,0,29,39,40,26,11,1,1,1,0,0,3020
7b929a991be4703bfb474b2192b9e3d3,MALE,35-49,2661,467,543,1499,1711,310,2359,412,8,1337,618,16,623,820,535,408,1011,301,83,358,151,32,3,363,106,71,7,42,54,82,123,29,0,3,0,0,0,4866
7b72e0ec27de5a09329c3a182a932fe1,FEMALE,18-24,65,4,2,17,23,2,22,2,0,4,14,0,4,13,6,7,6,4,1,4,0,0,0,20,1,0,0,0,0,1,1,0,0,0,0,0,0,146
9dd443066d1d87106cf38c417792118a,FEMALE,25-34,72,17,21,44,56,9,72,20,0,27,15,0,20,21,24,3,33,10,5,12,4,4,0,4,2,4,0,3,1,1,1,0,0,0,0,0,0,286
0745bfb436637124afa2c14ebe7b55ce,MALE,35-49,2212,320,457,1184,1442,125,1318,245,2,937,558,12,448,170,228,146,1112,365,27,317,211,10,16,161,77,39,2,17,35,36,9,19,0,0,5,0,0,3752
e82f0de508f17e5e333744972538b360,MALE,50-64,160,26,34,91,154,19,176,24,0,95,79,2,43,20,30,16,83,25,7,31,12,0,0,141,10,1,0,1,5,3,6,0,0,0,0,0,0,611
913e54a57730b7790f2d81c0f15df3c3,MALE,35-49,172,24,48,104,140,20,202,44,0,100,42,0,84,72,34,32,80,28,20,64,20,0,22,16,4,6,0,2,2,4,0,2,0,0,0,0,0,422
af9393a9f93b3ef093de18b489cd2d52,MALE,65-xx,368,18,54,212,318,30,1246,80,4,148,62,4,78,20,28,28,122,48,6,34,6,0,10,150,10,6,0,10,4,6,244,2,0,0,0,0,0,680
